Timestamp(us), ax, ay, az, gx, gy, gz, mx, my, mz,period
3539034881,-3973,-356,-13399,-339,-1321,-975,302,320,-1276,0
3539054870,-3999,-191,-15723,-582,-1857,-935,320,296,-1313,0
3539074859,-3548,-929,-17226,-510,-1537,-947,332,308,-1265,0
3539094848,-3195,-1395,-18121,-337,-654,-978,338,296,-1276,0
3539114837,-4574,-1240,-16866,-78,87,-962,338,290,-1240,0
3539134826,-5521,-415,-16169,64,157,-1009,356,285,-1240,0
3539154815,-5784,392,-16149,188,2,-993,350,285,-1265,0
3539174804,-5824,-132,-16192,232,-151,-884,362,296,-1265,0
3539194793,-5520,-1569,-14975,363,-215,-878,374,261,-1288,0
3539214782,-5366,-1128,-14729,213,-433,-963,385,285,-1226,0
3539234771,-5311,-1126,-15486,-137,-488,-938,368,243,-1240,0
3539254760,-5463,-1208,-15542,-315,-250,-889,391,273,-1265,0
3539274749,-6167,-577,-15307,-446,-68,-832,385,243,-1251,0
3539294738,-6513,-189,-15499,-514,-27,-769,385,273,-1276,0
3539314727,-6611,-1624,-15056,-455,87,-783,409,249,-1226,0
3539334716,-5421,-179,-15128,-316,-87,-1007,409,231,-1215,0
3539354705,-5342,-932,-14626,-266,-173,-716,397,219,-1263,0
3539374694,-5587,-1368,-14176,-249,-279,-637,409,231,-1251,0
3539394683,-6404,-466,-15055,-367,-413,-732,421,243,-1178,0
3539414672,-7801,2095,-15354,-705,-126,-979,439,255,-1215,0
3539434661,-6609,354,-14624,-819,203,-962,433,207,-1203,0
3539454650,-5745,-1039,-14803,-552,85,-654,433,219,-1203,0
3539474639,-6176,-527,-15864,-493,56,-662,433,219,-1190,0
3539494628,-6113,913,-16856,-149,-52,-839,445,231,-1203,0
3539514617,-5688,106,-16535,402,-347,-983,445,225,-1190,0
3539534606,-5928,-2389,-15710,910,-478,-1426,463,201,-1190,0
3539554595,-5974,-1946,-15738,1398,-437,-1986,451,184,-1190,0
3539574584,-5423,-2088,-14276,1264,-189,-1605,457,184,-1215,0
3539594573,-4991,-1756,-14425,374,-149,-948,492,154,-1226,0
3539614562,-5974,-2486,-14985,-134,-150,-804,492,154,-1178,0
3539634552,-6421,-2710,-14947,-351,-135,-728,481,124,-1178,0
3539654541,-7140,-2943,-15215,-103,-272,-785,480,148,-1215,0
3539674530,-6725,-3265,-13992,195,-431,-832,504,142,-1178,0
3539694519,-7494,-4055,-13958,-2,-390,-596,504,142,-1178,0
3539714508,-8041,-4359,-14580,118,-426,-413,504,130,-1178,0
3539734497,-7576,-3473,-15355,508,-539,-314,504,118,-1190,0
3539754486,-6550,-2106,-15791,515,-658,-335,504,106,-1178,0
3539774475,-4437,-682,-14925,312,-690,-776,516,112,-1190,0
3539794464,-5951,-1898,-14417,65,-564,-1021,510,112,-1153,0
3539814453,-6744,-4341,-13151,-66,-456,-616,522,112,-1142,0
