Timestamp(us), mx, my, mz
3023558197,326,124,-2080
3023578186,332,77,-2142
3023598175,350,53,-2128
3023618164,362,-12,-2092
3023638153,380,-42,-2092
3023658142,386,-84,-2105
3023678131,397,-131,-2067
3023698120,409,-179,-2080
3023718109,409,-191,-2067
3023738098,427,-256,-2005
3023758087,415,-286,-2019
3023778076,433,-333,-2019
3023798065,445,-375,-1957
3023818054,433,-410,-1982
3023838043,451,-464,-1907
3023858032,457,-488,-1882
3023878021,457,-488,-1882
3023898010,469,-535,-1821
3023917999,445,-559,-1784
3023937988,457,-612,-1748
3023957977,463,-636,-1661
3023977966,457,-690,-1611
3023997955,445,-713,-1563
3024017944,439,-761,-1526
3024037933,415,-773,-1476
3024057922,439,-791,-1440
3024077911,421,-838,-1365
3024097900,409,-850,-1328
3024117889,409,-868,-1255
3024137878,386,-892,-1230
3024157867,380,-903,-1155
3024177856,368,-927,-1144
3024197845,362,-951,-1082
3024217834,356,-951,-1071
3024237823,344,-969,-1021
3024257812,356,-963,-996
3024277801,332,-969,-948
3024297790,344,-998,-948
3024317779,332,-987,-923
3024337768,332,-981,-898
3024357757,338,-1004,-886
3024377746,338,-981,-861
3024397735,320,-987,-909
3024417724,326,-987,-873
3024437713,326,-993,-886
3024457702,326,-992,-923
3024477691,338,-992,-886
3024497680,320,-998,-886
3024517669,344,-987,-923
3024537658,338,-993,-996
3024557647,350,-969,-1009
3024577636,374,-957,-1057
3024597625,380,-951,-1107
3024617614,362,-951,-1180
3024637603,380,-921,-1217
3024657592,398,-892,-1292
3024677581,403,-856,-1342
3024697570,415,-832,-1403
3024717559,433,-808,-1465
3024737548,445,-767,-1513
3024757537,463,-737,-1636
3024777526,445,-672,-1711
3024797515,451,-636,-1759
3024817504,433,-577,-1846
3024837493,433,-535,-1871
3024857482,439,-482,-1919
3024877471,439,-446,-1969
3024897460,445,-387,-2007
3024917449,427,-339,-2007
3024937438,415,-292,-2044
3024957427,403,-250,-2080
3024977416,403,-202,-2117
3024997406,374,-137,-2055
3025017395,374,-96,-2105
3025037384,374,-78,-2117
3025057373,356,-36,-2130
3025077362,332,0,-2080
3025097351,326,35,-2117
3025117340,302,71,-2130
3025137329,302,118,-2094
3025157318,302,148,-2092
3025177307,273,166,-2117
3025197296,267,172,-2105
3025217285,243,225,-2044
3025237274,243,231,-2067
3025257263,261,237,-2069
3025277252,231,273,-2055
3025297241,231,255,-2080
3025317230,243,249,-2030
3025337219,237,267,-2069
3025357208,249,261,-2069
3025377197,243,267,-2055
3025397186,237,243,-2105
3025417175,249,231,-2080
3025437164,279,225,-2080
3025457153,267,207,-2094
3025477142,297,190,-2080
3025497131,297,172,-2094
