Timestamp(us), ax, ay, az, gx, gy, gz
3013003997,-8470,-2655,6608,1517,527,-811
3013023986,-9966,-4014,3243,1388,-513,-967
3013043975,-15823,-4132,-3148,1010,-631,-970
3013063964,-14977,-3001,-6221,740,-222,-965
3013083953,-17495,-2805,-6302,573,-432,-916
3013103942,-20516,-2058,-3376,527,-316,-784
3013123931,-19433,-798,-1035,577,204,-719
3013143920,-18192,-342,-1357,747,355,-683
3013163909,-18741,-678,-2478,957,307,-669
3013183898,-18929,-1224,-2585,1103,404,-691
3013203887,-18072,-1743,-1443,1188,629,-709
3013223876,-17669,-2028,-536,1201,936,-658
3013243865,-18071,-2242,-1068,1204,1270,-564
3013263854,-18039,-2370,-2996,1240,1393,-441
3013283843,-18399,-2479,-5417,1233,1355,-278
3013303833,-18325,-2644,-6500,1148,1210,-134
3013323822,-17655,-2926,-6110,1043,1000,-82
3013343811,-17167,-3428,-5185,956,835,-105
3013363800,-17063,-3919,-4840,873,727,-125
3013383789,-16506,-4277,-5121,804,627,-96
3013403778,-15666,-4375,-5306,763,458,31
3013423767,-16167,-4363,-5324,679,401,262
3013443756,-16568,-4069,-5291,553,423,451
3013463745,-15947,-3632,-5220,471,334,519
3013483734,-15117,-3183,-5102,422,176,548
3013503723,-15039,-2800,-5092,384,11,584
3013523712,-15489,-2619,-4947,345,-25,596
3013543701,-15093,-2139,-4606,305,70,559
3013563690,-14300,-1897,-4450,267,136,489
3013583679,-13927,-2165,-4448,240,111,436
3013603668,-14151,-2492,-4717,207,104,429
3013623657,-14301,-2510,-5245,161,166,450
3013643646,-13964,-2740,-5095,117,196,438
3013663635,-14141,-2860,-5970,56,203,426
3013683624,-14688,-2574,-7802,-25,210,424
3013703613,-14061,-2158,-9367,-75,191,410
3013723602,-14005,-2103,-10113,-133,37,377
3013743591,-13901,-2778,-9787,-256,-62,282
3013763580,-13533,-3287,-9000,-500,-24,156
3013783569,-13987,-3255,-8388,-824,-18,12
3013803558,-13671,-3269,-6854,-1078,-96,-106
3013823547,-14425,-3042,-5363,-1206,-362,-142
3013843536,-15698,-2629,-4142,-1229,-650,-89
3013863525,-16811,-2223,-2673,-1170,-782,26
3013883514,-17495,-2169,-1089,-1030,-744,135
3013903503,-17489,-2447,-556,-835,-561,211
3013923492,-17396,-2591,-513,-636,-353,259
3013943481,-17426,-2240,-282,-441,-149,272
3013963470,-17264,-1896,-447,-231,69,260
3013983459,-17525,-1683,-977,-35,283,247
3014003448,-17868,-1649,-991,116,550,235
3014023437,-17371,-1417,-800,240,844,235
3014043426,-16247,-1015,-810,385,922,266
3014063415,-15604,-792,-1352,538,810,326
3014083404,-15746,-518,-1929,655,731,410
3014103393,-16570,-333,-2884,737,844,477
3014123382,-16436,-541,-3973,813,1143,506
3014143371,-15597,-956,-5051,871,1375,519
3014163360,-15051,-1410,-5598,894,1508,511
3014183349,-13997,-1857,-5162,885,1705,529
3014203338,-12668,-2015,-5597,843,1868,589
3014223327,-11889,-2002,-6920,788,1907,615
3014243316,-11305,-1747,-8599,737,1894,586
3014263305,-10784,-1750,-9963,679,1872,496
3014283294,-9432,-1773,-9775,633,1709,372
3014303283,-8458,-1504,-9166,603,1449,270
3014323272,-8266,-1184,-9554,550,1142,191
3014343261,-8410,-1197,-10275,494,858,88
3014363250,-8319,-1045,-11131,445,615,-34
3014383239,-8159,-821,-12280,407,509,-155
3014403228,-7653,-775,-13140,348,562,-277
3014423217,-7309,-1207,-13295,247,597,-391
3014443206,-7494,-1933,-13265,115,441,-509
3014463195,-7728,-2668,-13142,14,100,-619
3014483184,-8372,-2842,-13350,-53,-152,-675
3014503173,-11105,-2658,-15101,-82,-185,-714
3014523162,-13368,-2326,-17347,-51,154,-733
3014543151,-15024,-2151,-19006,-41,639,-700
3014563140,-16641,-2213,-19427,-120,893,-648
3014583129,-15652,-2089,-17793,-260,827,-580
3014603118,-14156,-2046,-15544,-418,361,-521
3014623107,-13469,-2119,-14376,-584,-109,-411
3014643096,-13297,-2081,-13542,-746,-248,-247
3014663085,-11188,-2331,-10940,-847,-316,-121
3014683074,-10540,-2310,-9825,-851,-480,-39
3014703063,-10443,-1855,-9760,-755,-628,-38
3014723052,-9687,-1313,-9647,-588,-683,-91
3014743041,-9830,-1174,-10424,-376,-591,-119
3014763031,-10501,-1305,-11657,-205,-227,-128
3014783020,-10598,-1636,-11907,-108,217,-162
3014803009,-10541,-1963,-11789,-32,495,-225
3014822998,-10624,-2202,-11973,36,569,-301
3014842987,-10447,-2189,-12378,67,536,-354
3014862976,-10383,-2254,-12723,57,534,-341
3014882965,-10535,-2480,-12625,16,549,-286
3014902954,-10363,-2530,-12465,-42,515,-237
3014922943,-9818,-2396,-12327,-83,327,-213
3014942932,-9392,-2305,-12155,-114,12,-205
3014962921,-9362,-2221,-11798,-126,-297,-193
3014982910,-9509,-2039,-11547,-120,-561,-184
3015002899,-9874,-1981,-11394,-89,-753,-182
3015022888,-10808,-2219,-11676,-56,-800,-192
3015042877,-11363,-2351,-11826,-33,-651,-219
3015062866,-11164,-2322,-11676,-21,-449,-259
3015082855,-11090,-2281,-11638,-6,-317,-283
3015102844,-11186,-2297,-11685,12,-278,-289
3015122833,-11358,-2337,-11830,14,-247,-281
3015142822,-11637,-2412,-11961,-3,-177,-270
3015162811,-11771,-2603,-11872,-34,-98,-278
3015182800,-11590,-2795,-11750,-69,-48,-294
3015202789,-11492,-2891,-11588,-103,-39,-301
3015222778,-11496,-3028,-11569,-134,-45,-290
3015242767,-11348,-3070,-11467,-170,-39,-257
3015262756,-11550,-3051,-11465,-193,-62,-225
3015282745,-11845,-3029,-11563,-204,-83,-215
3015302734,-11850,-2972,-11522,-209,-98,-227
3015322723,-11668,-2856,-11301,-208,-121,-251
3015342712,-11211,-2880,-10949,-197,-82,-234
3015362701,-11063,-2808,-10903,-192,10,-166
3015382690,-11757,-2918,-11217,-181,159,-99
3015402679,-11950,-3006,-11398,-176,384,-56
3015422668,-11554,-3060,-11333,-168,624,-38
3015442657,-10786,-2998,-11401,-140,754,-25
3015462646,-10473,-3120,-11699,-101,782,7
3015482635,-11185,-3193,-12256,-72,883,58
3015502624,-11811,-2985,-13127,-38,1097,81
3015522613,-10888,-2784,-13654,10,1208,66
3015542602,-9095,-3180,-12596,52,1042,43
3015562591,-8531,-3596,-11480,43,756,45
3015582580,-8944,-3395,-11869,0,537,56
3015602569,-8597,-2912,-12499,-22,321,48
3015622558,-8411,-2663,-13026,-7,135,46
3015642547,-8459,-2650,-12631,11,-53,36
3015662536,-8185,-2451,-11823,20,-277,13
3015682525,-8168,-2234,-11407,45,-488,3
3015702514,-9161,-1814,-12388,81,-515,10
3015722503,-10446,-1261,-14338,141,-378,2
3015742492,-9712,-1651,-13316,212,-327,-51
3015762481,-9993,-2081,-12380,252,-431,-68
3015782470,-11227,-2056,-12846,227,-366,-12
3015802459,-11156,-1890,-13509,167,-191,54
3015822448,-10750,-2058,-13478,112,-55,121
3015842437,-10284,-2319,-12284,54,31,188
3015862426,-9818,-2189,-11360,25,-39,227
3015882415,-9798,-2055,-11507,58,-155,241
3015902404,-10097,-2105,-12266,132,-187,232
3015922393,-10304,-2277,-12796,192,-136,212
3015942382,-9987,-2469,-12742,214,5,190
3015962371,-9356,-2574,-12350,220,131,171
3015982360,-8890,-2449,-12421,218,166,158
3016002349,-9081,-2446,-13139,214,161,143
3016022338,-9301,-2858,-13582,189,163,99
3016042327,-9158,-3326,-13212,132,169,43
3016062316,-9114,-3533,-12774,72,148,-5
3016082305,-8898,-3450,-12255,34,56,-41
